year,state,home_ownership
2014,OH,67.3
2015,OH,66.4
2016,OH,66.1
2017,OH,66.0
2018,OH,67.3
2019,OH,68.2
2020,OH,69.4
2021,OH,67.4
2022,OH,66.0
2023,OH,66.6
1984,TX,62.5
1985,TX,60.5
1986,TX,61.0
1987,TX,61.1
1988,TX,59.9
1989,TX,61.0
1990,TX,59.7
1991,TX,59.0
1992,TX,58.3
1993,TX,58.7
1994,TX,59.7
1995,TX,61.4
1996,TX,61.8
1997,TX,61.5
1998,TX,62.5
1999,TX,62.9
2000,TX,63.8
2001,TX,63.9
2002,TX,63.4
2003,TX,64.5
2004,TX,65.5
2005,TX,65.9
2006,TX,66.0
2007,TX,66.0
2008,TX,65.5
2009,TX,65.4
2010,TX,65.3
2011,TX,64.3
2012,TX,64.3
2013,TX,63.3
2014,TX,62.2
2015,TX,61.9
2016,TX,61.5
2017,TX,61.7
2018,TX,62.7
2019,TX,62.4
2020,TX,66.5
2021,TX,64.1
2022,TX,63.6
2023,TX,63.6
1984,CO,64.7
1985,CO,63.6
1986,CO,63.7
1987,CO,61.8
1988,CO,60.1
1989,CO,58.6
1990,CO,59.0
1991,CO,59.8
1992,CO,60.9
1993,CO,61.8
1994,CO,62.9
1995,CO,64.6
1996,CO,64.5
1997,CO,64.1
1998,CO,65.2
1999,CO,68.1
2000,CO,68.3
2001,CO,68.5
2002,CO,68.9
2003,CO,71.3
2004,CO,71.1
2005,CO,71.0
2006,CO,70.1
2007,CO,70.2
2008,CO,69.0
2009,CO,68.4
2010,CO,68.5
2011,CO,65.9
2012,CO,65.3
2013,CO,64.4
2014,CO,65.0
2015,CO,63.6
2016,CO,62.4
2017,CO,63.7
2018,CO,64.4
2019,CO,64.7
2020,CO,64.9
2021,CO,65.9
2022,CO,67.4
2023,CO,67.2
1984,SC,69.1
1985,SC,72.0
1986,SC,70.3
1987,SC,72.8
1988,SC,73.8
1989,SC,71.0
1990,SC,71.4
1991,SC,73.1
1992,SC,71.0
1993,SC,71.1
1994,SC,72.0
1995,SC,71.3
1996,SC,72.9
1997,SC,74.1
1998,SC,76.6
1999,SC,77.1
2000,SC,76.5
2001,SC,76.1
2002,SC,77.5
2003,SC,75.0
2004,SC,76.2
2005,SC,73.9
2006,SC,74.2
2007,SC,74.1
2008,SC,73.9
2009,SC,74.4
2010,SC,74.8
2011,SC,74.2
2012,SC,71.5
2013,SC,72.4
2014,SC,72.9
2015,SC,67.1
2016,SC,68.9
2017,SC,72.8
2018,SC,72.0
2019,SC,72.6
2020,SC,73.6
2021,SC,73.2
2022,SC,74.7
2023,SC,73.0
1984,OK,71.0
1985,OK,70.5
1986,OK,69.7
1987,OK,70.9
1988,OK,72.1
1989,OK,71.4
1990,OK,70.3
1991,OK,69.2
1992,OK,68.9
1993,OK,70.3
1994,OK,68.5
1995,OK,69.8
1996,OK,68.4
1997,OK,68.5
1998,OK,69.7
1999,OK,71.5
2000,OK,72.7
2001,OK,71.5
2002,OK,69.6
2003,OK,69.1
2004,OK,71.1
2005,OK,72.9
2006,OK,71.6
2007,OK,70.3
2008,OK,70.4
2009,OK,69.6
2010,OK,69.2
2011,OK,69.4
2012,OK,68.8
2013,OK,69.9
2014,OK,69.3
2015,OK,67.4
2016,OK,66.8
2017,OK,68.9
2018,OK,69.5
2019,OK,68.8
2020,OK,71.0
2021,OK,67.0
2022,OK,68.5
2023,OK,68.0
1984,TN,67.6
1985,TN,67.6
1986,TN,67.4
1987,TN,67.2
1988,TN,66.9
1989,TN,67.3
1990,TN,68.3
1991,TN,68.0
1992,TN,67.4
1993,TN,64.1
1994,TN,65.2
1995,TN,67.0
1996,TN,68.8
1997,TN,70.2
1998,TN,71.3
1999,TN,71.9
2000,TN,70.9
2001,TN,69.7
2002,TN,70.3
2003,TN,70.8
2004,TN,71.6
2005,TN,72.4
2006,TN,71.3
2007,TN,70.2
2008,TN,71.7
2009,TN,71.1
2010,TN,71.0
2011,TN,69.3
2012,TN,67.9
2013,TN,66.8
2014,TN,66.7
2015,TN,66.5
2016,TN,66.4
2017,TN,67.2
2018,TN,68.0
2019,TN,68.8
2020,TN,70.0
2021,TN,67.7
2022,TN,67.3
2023,TN,68.9
1984,WY,68.8
1985,WY,73.2
1986,WY,72.0
1987,WY,68.9
1988,WY,67.8
1989,WY,69.6
1990,WY,68.9
1991,WY,68.7
1992,WY,67.9
